"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0",0.949019607843137,"#F2F2F2",TRUE,0,1
"2","HOURGLASS","Veil Fluid Makeup","Porcelain","No. 0",0.817647058823529,"#F6D3AB",TRUE,0,2
"3","TOM FORD","Traceless Soft Matte Foundation","Pearl","0.0",0.850980392156863,"#F0D8C2",TRUE,0,3
"4","Armani Beauty","Neo Nude Foundation",NA,"0",0.911764705882353,"#F0E8E1",TRUE,0,4
"5","TOM FORD","Traceless Foundation Stick","Pearl","0.0",0.911764705882353,"#FDE5D4",TRUE,0,5
"6","Charlotte Tilbury","Magic Foundation",NA,"0",0.731372549019608,"#D9AE9C",TRUE,0,6
"7","Bobbi Brown","Skin Weightless Powder Foundation","Porcelain","0",0.82156862745098,"#F3C9B0",TRUE,0,7
"8","Givenchy","Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20",NA,"N00",0.831372549019608,"#F5D8B3",TRUE,0,8
"9","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.1",0.813725490196078,"#F8CDA7",TRUE,0.1,9
"10","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"0.1",0.909803921568627,"#F9E4D7",TRUE,0.1,10
"11","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P0.1",0.919607843137255,"#F5E9E0",TRUE,0.1,11
"12","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.1",0.756862745098039,"#D4C2AE",TRUE,0.1,1
"13","TOM FORD","Traceless Soft Matte Foundation","Cameo","0.1",0.847058823529412,"#EED8C2",TRUE,0.1,3
"14","TOM FORD","Traceless Foundation Stick","Cameo","0.1",0.884313725490196,"#F5E2CE",TRUE,0.1,5
"15","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.1",0.8,"#E9C9AF",TRUE,0.1,12
"16","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.2",0.758823529411765,"#F0BE93",TRUE,0.2,9
"17","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P0.2",0.935294117647059,"#F9EFE4",TRUE,0.2,11
"18","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.2",0.774509803921569,"#E1CDAA",TRUE,0.2,1
"19","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.2",0.743137254901961,"#E4B697",TRUE,0.2,12
"20","Clinique","Beyond Perfecting Powder Foundation + Concealer","Dune","0.25",0.917647058823529,"#FBEED9",NA,0.25,NA
"21","Ofra Cosmetics","Absolute Cover Foundation",NA,"0.25",0.647058823529412,"#C9AD81",TRUE,0.25,13
"22","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.3",0.784313725490196,"#F4C59C",TRUE,0.3,9
"23","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"0.3",0.9,"#F5E2D6",TRUE,0.3,10
"24","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.3",0.688235294117647,"#CDB392",TRUE,0.3,1
"25","TOM FORD","Traceless Soft Matte Foundation","Ivory Silk","0.3",0.792156862745098,"#E4CCB0",TRUE,0.3,3
"26","TOM FORD","Traceless Foundation Stick","Ivory Silk","0.3",0.77843137254902,"#EEC49F",TRUE,0.3,5
"27","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.3",0.733333333333333,"#DAB49C",TRUE,0.3,12
"28","TOM FORD","Traceless Soft Matte Foundation","Rose","0.4",0.796078431372549,"#E4C7B2",TRUE,0.4,3
"29","TOM FORD","Traceless Foundation Stick","Rose","0.4",0.688235294117647,"#D3A58C",TRUE,0.4,5
"30","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.5",0.715686274509804,"#E6AE87",TRUE,0.5,9
"31","bareMinerals","BAREPRO Performance Wear Powder Foundation","Porcelain","0.5",0.843137254901961,"#FCC8B2",TRUE,0.5,14
"32","Clinique","Beyond Perfecting Powder Foundation + Concealer","Breeze","0.5",0.833333333333333,"#F7C9B2",NA,0.5,NA
"33","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.5",0.827450980392157,"#ECC7BA",TRUE,0.5,1
"34","Clinique","Beyond Perfecting Foundation + Concealer","Shell","CN 0.5",0.92156862745098,"#F7EADF",NA,0.5,NA
"35","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"0.5",0.764705882352941,"#DDC1A9",TRUE,0.5,15
"36","bareMinerals","BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20","Porcelain","0.5",0.843137254901961,"#FCC8B2",TRUE,0.5,16
"37","bareMinerals","BAREPRO Longwear Powder Foundation ","Porcelain","0.5",0.872549019607843,"#FCD3C1",TRUE,0.5,17
"38","bareMinerals","BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ","Porcelain","0.5",0.882352941176471,"#FDD8C5",TRUE,0.5,18
"39","TOM FORD","Traceless Soft Matte Foundation","Porcelain","0.5",0.794117647058823,"#E2CCB3",TRUE,0.5,3
"40","TOM FORD","Traceless Foundation Stick","Porcelain","0.5",0.864705882352941,"#F8D5C1",TRUE,0.5,5
"41","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.5",0.719607843137255,"#D2AB9D",TRUE,0.5,12
"42","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.7",0.715686274509804,"#D2B89B",TRUE,0.7,1
"43","Clinique","Beyond Perfecting Foundation + Concealer","Custard","CN 0.75",0.903921568627451,"#F5E5D8",NA,0.75,NA
"44","Benefit Cosmetics","Hello Happy Air Stick Foundation SPF 20",NA,"Shade 1",0.825490196078431,"#F0D2B5",TRUE,1,19
"45","Benefit Cosmetics","Hello Happy Flawless Brightening Foundation SPF 15","Fair Cool","Shade 1",0.817647058823529,"#EACFB7",TRUE,1,20
"46","Benefit Cosmetics","Hello Happy Velvet Powder Foundation","Fair Cool","Shade 1",0.803921568627451,"#E3CFB7",TRUE,1,21
"47","NUDESTIX","Tinted Cover Foundation","Nude","1",0.898039215686275,"#F3DFD7",TRUE,1,22
"48","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.0",0.701960784313725,"#E5AC81",TRUE,1,9
"49","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.0",0.82156862745098,"#F1C6B2",TRUE,1,10
"50","bareMinerals","Matte Foundation Broad Spectrum SPF 15","Fair","01",0.901960784313726,"#FDE3CF",TRUE,1,23
"51","Makeup Revolution","Fast Base Stick Foundation",NA,"F1",0.73921568627451,"#D8BDA1",TRUE,1,24
"52","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P1",0.907843137254902,"#F4E7DB",TRUE,1,11
"53","bareMinerals","ORIGINAL Foundation Broad Spectrum SPF 15","Fair","01",0.901960784313726,"#FDE3CF",TRUE,1,25
"54","bareMinerals","BAREPRO Performance Wear Powder Foundation","Fair","01",0.837254901960784,"#FBCDB0",TRUE,1,14
"55","Clinique","Almost Powder Makeup","Fair","01",0.950980392156863,"#F4F3F1",NA,1,NA
"56","bareMinerals","Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25","Opal","01",0.801960784313726,"#F3C1A6",TRUE,1,26
"57","Makeup Revolution","Conceal & Hydrate Foundation",NA,"F1",0.809803921568627,"#E6CBB7",TRUE,1,27
"58","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F1",0.835294117647059,"#F3D4B7",TRUE,1,1
"59","Makeup Revolution","Conceal & Glow Foundation",NA,"F1",0.815686274509804,"#EDCCB3",TRUE,1,28
"60","Pacifica","Alight Clean Foundation","Cool Deep","01CD",0.313725490196078,"#7C4024",FALSE,1,29
"61","jane iredale","Beyond Matte Liquid Foundation",NA,"M1",0.817647058823529,"#FCCDA5",TRUE,1,30
"62","Clinique","Beyond Perfecting Foundation + Concealer","Flax","WN 01",0.896078431372549,"#EFE3DA",NA,1,NA
"63","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"1.0",0.743137254901961,"#DEC09D",TRUE,1,15
"64","bareMinerals","BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20","Fair","01",0.837254901960784,"#FBCDB0",TRUE,1,16
"65","Physicians Formula","The Healthy Foundation SPF 20",NA,"DpC1",0.376470588235294,"#92572E",TRUE,1,31
"66","bareMinerals","ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20","Fair","01",0.831372549019608,"#FBCDAD",TRUE,1,32
"67","LORAC","PRO Soft Focus Longwear Foundation",NA,"01",0.8,"#E8CDB0",TRUE,1,33
"68","HOURGLASS","Veil Fluid Makeup","Ivory","No. 1",0.758823529411765,"#E8B89B",TRUE,1,2
"69","ILIA","Super Serum Skin Tint SPF 40 Foundation","Rendevous","1",0.907843137254902,"#FEE4D1",TRUE,1,34
"70","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Cool","1.00",0.943137254901961,"#FCF0E5",TRUE,1,35
